Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
生病,生病,saang1 beng6,sāang bengh,to fall ill,,
受傷,受伤,sau6 soeng1,sauh sēung,"to sustain injuries, wounded (in an accident etc), harmed",,
餓,饿,ngo6,ngoh,"to be hungry, hungry, to starve (sb)",,
渴,渴,hot3,hot,thirsty,,
舒服,舒服,syu1 fuk6,syū fuhk,"comfortable, feeling well",,
眼鏡,眼镜,ngaan5 geng3,ngáanh geng,"spectacles, eyeglasses, CL:副",,
痛,痛,tung3,tung,"ache, pain, sorrow, deeply, thoroughly",,
希望,希望,hei1 mong6,hēi mongh,"to wish for, to desire, hope, CL:個",,
商店,商店,soeng1 dim3,sēung dim,"store, shop, CL:家, 個",,
店,店,dim3,dim,"inn, shop, store, CL:家",,
重要,重要,cung4 jiu3,chùngh yiu,"important, significant, major",,
給,给,kap1,kāp,"to, for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier)to supply, to provide",,
公斤,公斤,gung1 gan1,gūng gān,kilogram (kg),,
顏色,颜色,ngaan4 sik1,ngàanh sīk,"color, countenance, appearance, facial expression, pigment, dyestuff",,
黃色,黄色,wong4 sik1,wòngh sīk,"yellow (color), pornographic",,
白色,白色,baak6 sik1,baahk sīk,"white, fig. reactionary, anti-communist",,
襪子,袜子,mat6 zi2,maht jí,"socks, stockings, CL:隻, 對, 雙",,
裙子,裙子,kwan4 zi2,kwành jí,"skirt, CL:條",,
短,短,dyun2,dyún,"short, brief, to lack, weak point, fault",,
小心,小心,siu2 sam1,síu sām,"to be careful, to take care",,
牛奶,牛奶,ngau4 naai5,ngàuh náaih,"cow's milk, CL:瓶, 杯",,
蛋,蛋,daan2,dáan,"variant of 蜑egg, CL:個, 打, oval-shaped thing",,
餃子,饺子,gaau2 zi2,gáau jí,"dumpling, pot-sticker, CL:個, 隻",,
麵,面,min6,minh,"flour, noodles, (of food) soft (not crunchy), (slang) (of a person) ineffectual, spineless",,
湯,汤,tong1,tōng,"surname Tangsoup, hot or boiling water, decoction of medicinal herbs, water in which sth has been boiled",,
包子,包子,baau1 zi2,bāau jí,"steamed stuffed bun, CL:個",,
蛋糕,蛋糕,daan2 gou1,dáan gōu,"cake, CL:塊, 個",,
麵包,面包,min6 baau1,minh bāau,"bread, CL:片, 袋, 塊",,
水果,水果,seoi2 gwo2,séui gwó,"fruit, CL:個",,
香蕉,香蕉,hoeng1 ziu1,hēung jīu,"banana, CL:枝, 根, 個, 把",,
食物,食物,sik6 mat6,sihk maht,"food, CL:種",,
飲料,饮料,jam2 liu2,yám líu,"drink, beverage",,
果汁,果汁,gwo2 zap1,gwó jāp,fruit juice,,Food
杯子,杯子,bui1 zi2,būi jí,"cup, glass, CL:個, 隻",,
多,多,do1,dō,"many, much, often, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr. when it means ""how""",,
甜,甜,tim4,tìhm,sweet,,Food
菜單,菜单,coi3 daan1,choi dāan,"menu, CL:份, 張",,
巧克力,巧克力,haau2 hak1 lik6,háau hāk lihk,"chocolate (loanword), CL:塊",,
碗,碗,wun2,wún,"bowl, cup, CL:隻, 個",,
盤子,盘子,pun4 zi2,pùnh jí,"tray, plate, dish, CL:個",,
片,片,pin3,pin,"disk, sheetthin piece, flake, a slice, film, TV play, to slice, to carve thin, partial, incomplete, one-sided, classifier for slices, tablets, tract of land, area of water, classifier for CDs, movies, DVDs etc, used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc",,
一半,一半,jat1 bun3,yāt bun,half,,
過,过,gwo3,gwo,surname Guo(experienced action marker),,
一定,一定,jat1 ding6,yāt dingh,"surely, certainly, necessarily, fixed, a certain (extent etc), given, particular, must",,
我,我,ngo5,ngóh,"I, me, my",,
你,你,nei5,néih,"you (informal, as opposed to courteous 您)",,
他,他,taa1,tā,"he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another",,
我們,我们,ngo5 mun4,ngóh mùnh,"we, us, ourselves, our",,
你們,你们,nei5 mun4,néih mùnh,you (plural),,
他們,他们,taa1 mun4,tā mùnh,they,,
您,您,nei5,néih,"you (courteous, as opposed to informal 你)",,
誰,谁,seoi4,sèuih,who,,
人,人,4-Jan,yành,"man, person, people, CL:個, 位",,
美國,美国,mei5 gwok3,méih gwok,"United States, USA, US",,
日本,日本,jat6 bun2,yaht bún,"Japan, Japanese",,
台灣,台湾,toi4 waan1,tòih wāan,variant of 臺灣湾,,
名字,名字,ming4 zi6,mìngh jih,"name (of a person or thing), CL:個",,
家,家,gaa1,gā,"home, family, (polite) my (sister, uncle etc), CL:個classifier for families or businessesrefers to the philosophical schools of pre-Han Chinanoun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -iansurname Jia",,
電話,电话,din6 waa6,dinh wah,"telephone, CL:部, phone call, CL:通, phone number",,
現在,现在,jin6 zoi6,yinh joih,"now, at present, at the moment, modern, current, nowadays",,
今年,今年,gam1 nin4,gām nình,this year,,
今天,今天,gam1 tin1,gām tīn,"today, at the present, now",,
明天,明天,ming4 tin1,mìngh tīn,tomorrow,,Cantonese::Date&Time
昨天,昨天,zok6 tin1,johk tīn,yesterday,,
早上,早上,zou2 soeng5,jóu séungh,"early morning, CL:個",,
上午,上午,soeng5 ng5,séungh ngh,"morning, CL:個",,
中午,中午,zung1 ng5,jūng ngh,"noon, midday, CL:個",,
下午,下午,haa6 ng5,hah ngh,"afternoon, CL:個, p.m.",,
晚上,晚上,maan5 soeng5,máanh séungh,"evening, night, CL:個, in the evening",,
一,一,jat1,yāt,"one, 1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1)",,
二,二,ji6,yih,two,,
三,三,saam1,sāam,"surname Santhree, 3",,
四,四,sei3,sei,"four, 4",,
五,五,ng5,ngh,"five, 5",,
六,六,luk6,luhk,"six, 6",,
七,七,cat1,chāt,"seven, 7",,
八,八,baat3,baat,"eight, 8",,
九,九,gau2,gáu,"nine, 9",,Cantonese::neverForget
十,十,sap6,sahp,"ten, 10",,Cantonese::neverForget
零,零,ling4,lìngh,"zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither",,
兩,两,loeng5,léungh,"two, both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)",,
時候,时候,si4 hau6,sìh hauh,"time, length of time, moment, period",,
百,百,baak3,baak,"surname Baihundred, numerous, all kinds of",,
半,半,bun3,bun,"half, semi-, incomplete, (after a number) and a half",,
爸爸,爸爸,baa1 baa1,bā bā,"(informal) father, CL:個, 位",,
媽媽,妈妈,maa1 maa1,mā mā,"mama, mommy, mother, CL:個, 位",,
哥哥,哥哥,go1 go1,gō gō,"older brother, CL:個, 位",,
弟弟,弟弟,dai6 dai6,daih daih,"younger brother, CL:個, 位",,
姊姊,姊姊,zi2 zi2,jí jí,"older sister, Taiwan pr.",,
妹妹,妹妹,mui6 mui6,muih muih,"younger sister, young woman, CL:個",,
的,的,dik1,dīk,"of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis)aim, clear",,
第,第,dai6,daih,"(prefix indicating ordinal number, e.g. first, number two etc), order, (old) rank in the imperial examinations, mansion, (literary) but, just",,
點,点,dim2,dím,"point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更, dot stroke in Chinese characters, classifier for items",,
個,个,go3,go,"individual, this, that, size, classifier for people or objects in general",,Cantonese::neverForget
歲,岁,seoi3,seui,"classifier for years (of age), year, year (of crop harvests)",,
年,年,nin4,nình,"surname Nianyear, CL:個",,
住,住,zyu6,jyuh,"to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)",,
來,来,loi4,lòih,"to come, to arrive, to come round, ever since, next",,
是,是,si6,sih,"is, are, am, yes, to be",,Cantonese::neverForget
姓,姓,sing3,sing,"family name, surname, CL:個, to be surnamed",,
覺得,觉得,gok3 dak1,gok dāk,"to think, to feel",,
喜歡,喜欢,hei2 fun1,héi fūn,"to like, to be fond of",,
打電話,打电话,daa2 din6 waa6,dá dinh wah,to make a telephone call,,
高興,高兴,gou1 hing1,gōu hīng,"happy, glad, willing (to do sth), in a cheerful mood",,
漂亮,漂亮,piu1 loeng6,pīu leungh,"pretty, beautiful",,
高,高,gou1,gōu,"surname Gaohigh, tall, above average, loud, your (honorific)",,
好,好,ho2,hó,"good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness), (of two people) close, on intimate terms, (after a personal pronoun) helloto be fond of, to have a tendency to, to be prone to",,Cantonese::wrongaudio
很,很,han2,hán,"(adverb of degree), quite, very, awfully",,
真,真,zan1,jān,"really, truly, indeed, real, true, genuine",,
電腦,电脑,din6 nou5,dinh nóuh,"computer, CL:臺",,
老師,老师,lou5 si1,lóuh sī,"teacher, CL:個, 位",,
買,买,maai5,máaih,"to buy, to purchase",,
忙,忙,mong4,mòngh,"busy, hurriedly, to hurry, to rush",,
學生,学生,hok6 saang1,hohk sāang,"student, schoolchild",,
大學,大学,daai6 hok6,daaih hohk,"the Great Learning, one of the Four Books 四書书 in Confucianismuniversity, college, CL:所",,
學校,学校,hok6 haau6,hohk haauh,"school, CL:所",,
字,字,zi6,jih,"letter, symbol, character, word, CL:個, courtesy or style name traditionally given to males aged 20 in dynastic China",,
筆,笔,bat1,bāt,"pen, pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支, 枝",,
學,学,hok6,hohk,"to learn, to study, to imitate, science, -ology",,
問,问,man6,manh,to ask,,Cantonese Cantonese::Verbs
說,说,syut3,syut,"to persuadeto speak, to say, to explain, to scold, to tell off, a theory (typically the last character in a compound, as in 日心說心说 heliocentric theory)",,
寫,写,se2,sé,to write,,
聽,听,ting3,ting,"to listen, to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages(literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow",,
練習,练习,lin6 zaap6,linh jaahp,"to practice, exercise, drill, practice, CL:個",,
能,能,nang4,nàngh,"surname Nengcan, to be able to, might possibly, ability, (physics) energy",,
可以,可以,ho2 ji5,hó yíh,"can, may, possible, able to, not bad, pretty good",,
上課,上课,soeng5 fo3,séungh fo,"to go to class, to attend class, to go to teach a class",,
知道,知道,zi1 dou6,jī douh,"to know, to become aware of",,
電視,电视,din6 si6,dinh sih,"television, TV, CL:臺, 個",,
水,水,seoi2,séui,"surname Shuiwater, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes",,
再,再,zoi3,joi,"again, once more, re-, second, another, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也 or 都 for emphasis)",,
書,书,syu1,syū,"abbr. for 書經经book, letter, document, CL:本, 冊, 部, to write",,
電影,电影,din6 jing2,dinh yíng,"movie, film, CL:部, 片, 幕, 場",,
以前,以前,ji5 cin4,yíh chình,"before, formerly, previous, ago",,
以後,以后,ji5 hau6,yíh hauh,"after, later, afterwards, following, later on, in the future",,
走,走,zau2,jáu,"to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走), to change (shape, form, meaning)",,
等,等,dang2,dáng,"class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once",,
看,看,hon3,hon,"to look after, to take care of, to watch, to guardto see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)",,
什麼,什么,sam6 mo1,samh mō,"what?, something, anything",,
朋友,朋友,pang4 jau5,pàngh yáuh,"friend, CL:個, 位",,
東西,东西,dung1 sai1,dūng sāi,"east and westthing, stuff, person, CL:個, 件",,
吧,吧,baa1,bā,"bar (loanword) (serving drinks, or providing Internet access etc), to puff (on a pipe etc), (onom.) bang, abbr. for 貼吧吧(onom.) smack!",,
呢,呢,ne1,nē,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""), particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmationwoolen material",,
嗎,吗,maa1,mā,"see 嗎啡啡, morphine(question particle for ""yes-no"" questions)",,
找,找,zaau2,jáau,"to try to find, to look for, to call on sb, to find, to seek, to return, to give change",,
做,做,zou6,jouh,"to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance",,
再見,再见,zoi3 gin3,joi gin,"goodbye, see you again later",,
怎麼樣,怎么样,zam2 mo1 joeng6,jám mō yeungh,"how?, how about?, how was it?, how are things?",,
叫,叫,giu3,giu,"to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood)",,
謝謝,谢谢,ze6 ze6,jeh jeh,"to thank, thanks, thank you",,
對不起,对不起,deoi3 bat1 hei2,deui bāt héi,"unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)",,
請問,请问,cing2 man6,chíng manh,"Excuse me, may I ask...?",,
這,这,ze5,jéh,"this, these",,
那,那,naa5,náh,"surname Na(archaic) many, beautiful, how, old variant of 挪",,
公共汽車,公共汽车,gung1 gung6 hei3 ce1,gūng gungh hei chē,"bus, CL:輛, 班",,
車,车,ce1,chē,"surname Chewar chariot (archaic), rook (in Chinese chess), rook (in chess)",,
到,到,dou3,dou,"to (a place), until (a time), up to, to go, to arrive, (verb complement denoting completion or result of an action)",,
去,去,heoi3,heui,"to go, to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)",,
回,回,wui4,wùih,"to circle, to go back, to turn around, to answer, to return, to revolve, Hui ethnic group (Chinese Muslims), time, classifier for acts of a play, section or chapter (of a classic book)",,
坐,坐,co5,chóh,"surname Zuoto sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座",,
開車,开车,hoi1 ce1,hōi chē,to drive a car,,
錢,钱,cin2,chín,"surname Qiancoin, money, CL:筆, unit of weight, one tenth of a tael 兩",,
多少,多少,do1 siu2,dō síu,"number, amount, somewhathow much, how many, which (number), as much as",,
貴,贵,gwai3,gwai,"expensive, noble, precious, (honorific) your",,
便宜,便宜,bin6 ji4,binh yìh,"convenientcheap, inexpensive, small advantages, to let sb off lightly",,
大,大,daai6,daaih,"big, huge, large, major, great, wide, deep, older (than), oldest, eldest, greatly, very much, (dialect) father, father's elder or younger brothersee 大夫",,
小,小,siu2,síu,"small, tiny, few, young",,
難,难,naan4,nàanh,"difficult (to...), problem, difficulty, difficult, not gooddisaster, distress, to scold",,
容易,容易,jung4 ji6,yùngh yih,"easy, likely, liable (to)",,
有,有,jau5,yáuh,"to have, there is, there are, to exist, to be",,
想,想,soeng2,séung,"to think, to believe, to suppose, to wish, to want, to miss (feel wistful about the absence of sb or sth)",,
幾,几,gei2,géi,"almosthow much, how many, several, a few",,
塊,块,faai3,faai,"lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units",,
飯,饭,faan6,faanh,"food, cuisine, cooked rice, meal, CL:碗, 頓",,
吃,吃,hek3,hek,"to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer, to stammer (Taiwan pr. for this sense is )",,
請,请,cing2,chíng,"to ask, to invite, please (do sth), to treat (to a meal etc), to request",,
也,也,jaa5,yáh,"surname Yealso, too, (in Classical Chinese) final particle implying affirmation",,
不,不,bat1,bāt,"(negative prefix), not, no",,
沒,没,mut6,muht,"(negative prefix for verbs), have not, notdrowned, to end, to die, to inundate",,
都,都,dou1,dōu,"surname Ducapital city, metropolis",,
只,只,zi2,jí,"only, merely, just, but",,
可是,可是,ho2 si6,hó sih,"but, however, (used for emphasis) indeed",,
還是,还是,waan4 si6,wàanh sih,"or, still, nevertheless, had better",,
了,了,liu5,líuh,"(modal particle intensifying preceding clause), (completed action marker)to finish, to achieve, variant of 瞭, to understand clearly",,
得,得,dak1,dāk,"to obtain, to get, to gain, to catch (a disease), proper, suitable, proud, contented, to allow, to permit, ready, finishedto have to, must, ought to, to need to",,
男,男,naam4,nàamh,"male, Baron, lowest of five orders of nobility 五等爵位, CL:個",,
女,女,neoi5,néuih,"female, woman, daughterarchaic variant of 汝",,
孩子,孩子,haai4 zi2,hàaih jí,child,,
小姐,小姐,siu2 ze2,síu jé,"young lady, miss, (slang) prostitute, CL:個, 位",,
先生,先生,sin1 saang1,sīn sāang,"Mister (Mr.)teacher, husband, doctor (dialect), CL:位",,
太太,太太,taai3 taai3,taai taai,"married woman, Mrs., Madam, wife, CL:個, 位",,
女兒,女儿,neoi5 ji4,néuih yìh,daughter,,
兒子,儿子,ji4 zi2,yìh jí,son,,
大家,大家,daai6 gaa1,daaih gā,"everyone, influential family, great expert",,
路,路,lou6,louh,"surname Luroad, CL:條, journey, route, line (bus etc), sort, kind",,
手機,手机,sau2 gei1,sáu gēi,"cell phone, mobile phone, CL:部, 支",,
號碼,号码,hou6 maa5,houh máh,"number, CL:堆, 個",,
明年,明年,ming4 nin4,mìngh nình,next year,,
去年,去年,heoi3 nin4,heui nình,last year,,
生日,生日,saang1 jat6,sāang yaht,"birthday, CL:個",,
月,月,jyut6,yuht,"moon, month, monthly, CL:個, 輪",,
日,日,jat6,yaht,"abbr. for 日本, Japansun, day, date, day of the month",,
星期,星期,sing1 kei4,sīng kèih,"week, CL:個, day of the week, Sunday",,
星期天,星期天,sing1 kei4 tin1,sīng kèih tīn,"Sunday, CL:個",,
週末,周末,zau1 mut6,jāu muht,weekend,,Cantonese::Date&Time
號,号,hou6,houh,"roar, cry, CL:個ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people",,
從,从,cung4,chùngh,"surname Congfrom, through, via, to follow, to obey, to engage in (an activity), never (in negative sentence), (Taiwan pr. ) retainer, assistant, auxiliary, subordinate, related by common paternal grandfather or earlier ancestor",,
笑,笑,siu3,siu,"laugh, smile, CL:個",,
愛,爱,ngoi3,ngoi,"to love, to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)",,
好看,好看,hou2 hon3,hóu hon,"good-looking, nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated",,
快樂,快乐,faai3 lok6,faai lohk,"happy, merry",,
太,太,taai3,taai,"highest, greatest, too (much), very, extremely",,
非常,非常,fei1 soeng4,fēi sèungh,"very, very much, unusual, extraordinary",,
工作,工作,gung1 zok3,gūng jok,"to work, (of a machine) to operate, job, work, task, CL:個, 份, 項",,
醫生,医生,ji1 saang1,yī sāang,"doctor, CL:個, 位, 名",,
醫院,医院,ji1 jyun2,yī yún,"hospital, CL:所, 家, 座",,
公司,公司,gung1 si1,gūng sī,"(business) company, company, firm, corporation, incorporated, CL:家",,
賣,卖,maai6,maaih,"to sell, to betray, to spare no effort, to show off or flaunt",,
準備,准备,zeon2 bei6,jéun beih,"preparation, to prepare, to intend, to be about to, reserve (fund)",,
一點,一点,jat1 dim2,yāt dím,"a bit, a little, one dot, one point",,
一些,一些,jat1 se1,yāt sē,"some, a few, a little, (following an adjective) slightly ...er",,
本,本,bun2,bún,"root, stem, origin, source, this, the current, original, inherent, originallyclassifier for books, periodicals, files etc",,
張,张,zoeng1,jēung,"surname Zhangto open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes",,
中學,中学,zung1 hok6,jūng hohk,"middle school, CL:個",,
年級,年级,nin4 kap1,nình kāp,"grade, year (in school, college etc), CL:個",,
英文,英文,jing1 man4,yīng mành,English (language),,
紙,纸,zi2,jí,"paper, CL:張, 沓, classifier for documents, letter etc",,
問題,问题,man6 tai4,manh tàih,"question, problem, issue, topic, CL:個",,
意思,意思,ji3 si1,yi sī,"idea, opinion, meaning, wish, desire, interest, fun, token of appreciation, affection etc, CL:個, to give as a small token, to do sth as a gesture of goodwill etc",,
圖書館,图书馆,tou4 syu1 gun2,tòuh syū gún,"library, CL:家, 個",,
數學,数学,sou3 hok6,sou hohk,"mathematics, mathematical",,
歷史,历史,lik6 si2,lihk sí,"history, CL:門, 段",,
餐廳,餐厅,caan1 teng1,chāan tēng,"dining hall, dining room, restaurant, CL:間, 家",,
學習,学习,hok6 zaap6,hohk jaahp,"to learn, to study",,
參加,参加,sam1 gaa1,sām gā,"to participate, to take part, to join",,
畫,画,waa2,wá,"to draw, picture, painting, CL:幅, 張, classifier for paintings etc, variant of 劃",,
讀,读,duk6,duhk,"comma, phrase marked by pauseto read, to study, reading of word (i.e. pronunciation), similar to 拼音",,
會,会,wui2,wúi,"can, to be possible, to be able to, will, to be likely to, to be sure to, to assemble, to meet, to gather, to see, union, group, association, CL:個, a moment (Taiwan pr. for this sense is )to balance an account, accountancy, accounting",,
有趣,有趣,jau5 ceoi3,yáuh cheui,"interesting, fascinating, amusing",,
為什麼,为什么,wai4 sam6 mo1,wàih samh mō,"why?, for what reason?",,
下課,下课,haa6 fo3,hah fo,"to finish class, to get out of class",,
說話,说话,syut3 waa6,syut wah,"to speak, to say, to talk, to gossip, to tell stories, talk, word",,
懂,懂,dung2,dúng,"to understand, to comprehend",,
天氣,天气,tin1 hei3,tīn hei,weather,,
房子,房子,fong4 zi2,fòngh jí,"house, building (single- or two-story), apartment, room, CL:棟, 幢, 座, 套, 間",,
門,门,mun4,mùnh,"surname Mengate, door, CL:扇, gateway, doorway, CL:個, opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal",derived from Watergate),
山,山,saan1,sāan,"surname Shanmountain, hill, anything that resembles a mountain, CL:座, bundled straw in which silkworms spin cocoons, gable",,
客廳,客厅,haak3 teng1,haak tēng,"drawing room (room for arriving guests), living room, CL:間",,
河,河,ho4,hòh,"river, CL:條, 道",,
狗,狗,gau2,gáu,"dog, CL:隻, 條",,
花,花,faa1,fā,"surname Huaflower, blossom, CL:朵, 支, 束, 把, 盆, 簇, fancy pattern, florid, to spend (money, time)",,
風,风,fung1,fūng,"wind, news, style, custom, manner, CL:陣, 絲",,
海,海,hoi2,hói,"surname Haiocean, sea, CL:個, 片, great number of people or things, (dialect) numerous",,
魚,鱼,jyu4,yùh,"surname Yufish, CL:條, 尾",,
樹,树,syu6,syuh,"tree, CL:棵, to cultivate, to set up",,
開,开,hoi1,hōi,"to open, to start, to turn on, to boil, to write out (a prescription, check, invoice etc), to operate (a vehicle), carat (gold), abbr. for Kelvin, 開爾文尔文, abbr. for 開本本, book format",,
冷,冷,laang5,láangh,surname Lengcold,,
熱,热,jit6,yiht,"to warm up, to heat up, hot (of weather), heat, fervent",,
洗澡,洗澡,sai2 zou2,sái jóu,"to bathe, to take a shower",,
咖啡,咖啡,gaa1 fe1,gā fē,"coffee (loanword), CL:杯",,
茶,茶,caa4,chàh,"tea, tea plant, CL:杯, 壺",,
生活,生活,saang1 wut6,sāang wuht,"life, activity, to live, livelihood",,
用,用,jung6,yungh,"to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore",,
洗,洗,sai2,sái,"to wash, to bathe, to develop (photo)",,
穿,穿,cyun1,chyūn,"to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread",,
起床,起床,hei2 cong4,héi chòngh,"to get out of bed, to get up",,
方便,方便,fong1 bin6,fōng binh,"convenient, suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself",,
睡覺,睡觉,seoi6 gok3,seuih gok,"to go to bed, to sleep",,
先,先,sin1,sīn,"early, prior, former, in advance, first",,
常常,常常,soeng4 soeng4,sèungh sèungh,"frequently, often",,
每,每,mui5,múih,"each, every",,
次,次,ci3,chi,"next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time",,
音樂,音乐,jam1 lok6,yām lohk,"music, CL:張, 曲, 段",,
票,票,piu3,piu,"ticket, ballot, banknote, CL:張, person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions",,
照片,照片,ziu3 pin3,jiu pin,"photograph, picture, CL:張, 套, 幅",,
打,打,daa2,dá,"dozen (loanword)to beat, to strike, to hit, to break, to type, to mix up, to build, to fight, to fetch, to make, to tie up, to issue, to shoot, to calculate, to play (a game), since, from",,
玩,玩,waan2,wáan,"to play, to have fun, to trifle with, toy, sth used for amusement, curio or antique (Taiwan pr. ), to keep sth for entertainment",,
跑,跑,paau2,páau,"(of an animal) to paw (the ground)to run, to run away, to escape, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away, off",,
開始,开始,hoi1 ci2,hōi chí,"to begin, beginning, to start, initial, CL:個",,
走路,走路,zau2 lou6,jáu louh,"to walk, to go on foot",,
唱歌,唱歌,coeng3 go1,cheung gō,to sing a song,,
信,信,seon3,seun,"letter, mail, CL:封, to trust, to believe, to profess faith in, truthful, confidence, trust, at will, at random",,
喂,喂,wai3,wai,"hello (when answering the phone)hey, to feed (an animal, baby, invalid etc)",,
介紹,介绍,gaai3 siu6,gaai siuh,"to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction",,
換,换,wun6,wunh,"to exchange, to change (clothes etc), to substitute, to switch, to convert (currency)",,
認識,认识,jing6 sik1,yingh sīk,"to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition",,
沒關係,没关系,mut6 gwaan1 hai6,muht gwāan haih,it doesn't matter,,
怎麼,怎么,zam2 mo1,jám mō,"how?, what?, why?",,
哪,哪,naa5,náh,"how, whichwhich? (interrogative, followed by classifier or numeral-classifier)",,
哪裡,哪里,naa5 leoi5,náh léuih,"where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment",,
這裡,这里,ze5 leoi5,jéh léuih,here,,
那裡,那里,naa5 leoi5,náh léuih,"there, that place",,
上,上,soeng5,séungh,"see 上聲声on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university)",,Cantonese::neverForget
下,下,haa6,hah,"down, downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down, to arrive at (a decision, conclusion etc), measure word to show the frequency of an action",,
外,外,ngoi6,ngoih,"outside, in addition, foreign, external",,
前,前,cin4,chình,"front, forward, ahead, first, top (followed by a number), future, ago, before, BC (e.g. 前293年), former, formerly",,
後,后,hau6,hauh,"back, behind, rear, afterwards, after, later, post-",,Cantonese::neverForget
右邊,右边,jau6 bin1,yauh bīn,"right side, right, to the right",,
左邊,左边,zo2 bin1,jó bīn,"left, the left side, to the left of",,
旁邊,旁边,pong4 bin1,pòngh bīn,"lateral, side, to the side, beside",,
中間,中间,zung1 gaan1,jūng gāan,"between, intermediate, mid, middle",,
地鐵,地铁,dei6 tit3,deih tit,"subway, metro",,
地方,地方,dei6 fong1,deih fōng,"region, regional (away from the central administration), localarea, place, space, room, territory, CL:處, 個, 塊",,
附近,附近,fu6 gan6,fuh ganh,"(in the) vicinity, nearby, neighboring, next to",,
