English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
Contemptuous,ازدرائي,অবজ্ঞাপূর্ণ,輕蔑,تحقیرآمیز,contemptueux,verächtlich,سپکاوی,desdenhoso,despectivo,dharau,küçümseyici,зневажливий,حقارت آمیز,adjective,A contemptuous glance followed.,Showing disdain.,
Contend,يجادل,তর্ক করা,爭論,ادعا کردن,contester,bestreiten,مبارزه کول,contender,contender,kupambana,mücadele etmek,боротися,مقابلہ کرنا,verb,They contend that the policy is unfair.,To argue or struggle for something.,
Contentious,خلافي,বিতর্কিত,爭議,مجادله‌ای,contentieux,streitbar,اختلافي,contencioso,contencioso,mzozo,tartışmalı,суперечливий,تنازعہ خیز,adjective,A contentious issue arose.,Argumentative.,
Contingency,احتمال طارئ,জরুরি সম্ভাবনা,意外情況,شرایط احتمالی,éventualité,Eventualität,احتمالي حالت,contingência,contingencia,dharura,ihtimal,непередбачена обставина,ہنگامی صورتحال,noun,The contract includes a contingency for supply chain disruptions.,A possible future event that must be prepared for.,
Contrite,ندم,অনুতপ্ত,懊悔,پشیمان,contrit,reumütig,پښیمانه,contrito,contrito,toba etmekten,pişman,каючийся,پشیمان,adjective,He felt contrite.,Regretful.,
Convenient,مريح,সুবিধাজনক,方便的,راحت,pratique,bequem,اسانه,conveniente,conveniente,rahisi,kullanışlı,зручний,آسان,adjective,The grocery store is convenient because it’s nearby.,"Easy to use, reach, or helpful in a situation.",
Convoluted,معقد,জটিল,錯綜複雜的,پیچیده,complexe,verschachtelt,پیچلی,convoluto,convoluto,changamano,karmaşık,заплутаний,پیچیدہ,adjective,A convoluted explanation confused them.,Overly complex.,
Copious,غزير,প্রচুর,大量,فراوان,copieux,reichlich,ډېر,copioso,copioso,tele,çok,великі обсяги,کثرت,adjective,Copious notes were taken.,Abundant.,
Core competency,الكفاءة الأساسية,মূল দক্ষতা,核心能力,شایستگی اصلی,compétence clé,Kernkompetenz,اصلي وړتیا,competência central,competencia central,ujuzi wa msingi,Kilit yetkinlik,ключова компетенція,بنیادی مہارت,noun,Innovation is a core competency.,Key business strength.,
Corroborate,يؤكد,নিশ্চিত করা,證實,تایید کردن,corroborer,bestätigen,تایید کول,corroborar,corroborar,kuthibitisha,doğrulamak,підтверджувати,تصدیق کرنا,verb,Evidence corroborates the story.,To confirm.,
Corrosion,تآكل,ক্ষয়,腐蝕,خوردگی,corrosion,Korrosion,زنګ,corrosão,corrosión,kutu,korozyon,корозія,زنگ لگنا,noun,Saltwater accelerated the corrosion of the metal structure.,The gradual destruction of material through chemical reactions.,
Cost an arm and a leg,باهظ الثمن جدًا,অত্যন্ত ব্যয়বহুল,非常昂貴,خیلی گران بودن,coûter les yeux de la tête,ein Vermögen kosten,ډېر ګران وي,custar os olhos da cara,costar un ojo de la cara,gharama kubwa,çok pahalı olmak,коштувати дуже дорого,بہت مہنگا ہونا,idiom,That new smartphone costs an arm and a leg.,To be extremely expensive.,
Cost-cutting,خفض التكاليف,ব্যয় হ্রাস,削減成本,کاهش هزینه,réduction des coûts,Kostensenkung,لګښت کمول,redução de custos,reducción de costos,upunguzaji wa gharama,maliyet azaltma,скорочення витрат,اخراجات میں کمی,noun,Cost-cutting improved margins.,Reducing expenses.,
Coup d’état,انقلاب عسكري,সামরিক অভ্যুত্থান,政變,کودتا,coup d’État,Staatsstreich,کودتا,golpe de estado,golpe de estado,mapinduzi,darbe,державний переворот,فوجی بغاوت,noun,A coup d’état occurred.,Overthrow government.,
Coupon,قسيمة خصم,কুপন,優惠券,کوپن,coupon,Gutschein,تخفيفي کوپن,cupom,cupón,kuponi,kupon,купон,رعایتی کوپن,noun,She used several coupons to reduce the grocery bill.,A voucher that provides a discount on products or services.,
Creator economy,اقتصاد صناع المحتوى,কনটেন্ট নির্মাতা অর্থনীতি,創作者經濟,اقتصاد تولیدکنندگان de créateurs,Creator Economy,د منځپانګې اقتصاد,economia criativa,economía de creadores,uchumi wa waundaji,içerik üretici ekonomisi,економіка творців,کریئیٹر اکانومی,noun,Many influencers now earn money through the creator economy.,The online business ecosystem built around digital content creators.,,
Credulous,ساذج,সরলবিশ্বাসী,輕信,زودباور,crédule,gutgläubig,ساده باور,cándido,credulón,mwaminifu,kolay inanan,довірливий,سادہ,adjective,Credulous people believed it.,Too easily believing.,
Cross that bridge when you come to it,يتعامل مع المشكلة لاحقًا,সময় এলে দেখা যাবে,船到橋頭自然直,وقتی رسیدی حلش کن,on verra le moment venu,die Brücke überqueren wenn man dort ist,وروسته فکر کول,resolver depois,ya veremos después,tutashughulikia baadaye,vakti gelince bakarız,вирішувати проблему коли вона виникне,وقت آنے پر دیکھیں گے,idiom,Don’t worry about next year yet — we’ll cross that bridge when we come to it.,To deal with a problem only when it actually happens.,
Crumbs,فتات,রুটির গুঁড়া,麵包屑,خرده نان,miettes,Krümel,د ډوډۍ ټوټې,migalhas,migas,makombo,kırıntılar,крихти,ٹکڑے,noun,There were cookie crumbs all over the table.,Small broken pieces of food such as bread or cookies.,
Current,تيار كهربائي,বিদ্যুৎ প্রবাহ,電流,جریان électrique,courant,Strom,برقي جریان,corrente,corriente,mkondo akım,струм,برقی رو,noun,The technician measured the current in the circuit.,The flow of electric charge through a conductor.,,
Cursory,سطحي,উপরিভাগীয়,草率的,سطحی,sommaire,oberflächlich,سطحي,superficial,superficial,juu juu,yüzeysel,поверхневий,سرسری,adjective,A cursory glance is enough.,Hasty or superficial.,
Cut corners,يوفر على حساب الجودة,কাজে শর্টকাট নেওয়া,偷工減料,میانبر زدن,faire des économies,an allen Ecken sparen,لنډه لار نيول,cortar custos,recortar gastos,kupunguza ubora,köşeleri kesmek,економити на якості,معیار کم کرنا,idiom,The company cut corners to finish the project faster.,To do something cheaply or carelessly to save time or money.,
Cut to the chase,يدخل في صلب الموضوع,মূল কথায় আসা,切入重點,رفتن سر اصل مطلب,aller droit au but,auf den Punkt kommen,اصلي خبرې ته راتلل,ir direto ao ponto,ir al grano,kuenda moja kwa moja konuya girmek,перейти до суті,اصل بات پر آنا,idiom,"I’m short on time, so please cut to the chase.",To skip unnecessary details and get to the main point.,,
Dark mode,الوضع الداكن,ডার্ক মোড,深色模式,حالت تیره,mode sombre,Dunkelmodus,تیاره حالت,modo escuro,modo oscuro,hali nyeusi,karanlık mod,темний режим,ڈارک موڈ,noun,I switched my apps to dark mode at night.,A display setting using dark backgrounds to reduce brightness.,
Data cap,حد البيانات,ডেটা সীমা,數據上限,محدودیت داده,plafond de données,Datenlimit,د معلوماتو حد,limite de dados,límite de datos,kikomo cha data,veri sınırı,ліміт даних,ڈیٹا حد,noun,Streaming videos quickly exceeded my monthly data cap.,A maximum amount of mobile or internet data allowed during a billing cycle.,
Database,قاعدة بيانات,ডাটাবেস,資料庫,پایگاه داده,base de données,Datenbank,د معلوماتو زېرمه,banco de dados,base de datos,hifadhidata,veritabanı,база даних,ڈیٹابیس,noun,The customer database contains thousands of records.,An organized collection of digital information.,
Day off,يوم إجازة,ছুটির দিন,休假日,روز تعطیل,jour de congé,freier Tag,رخصتي ورځ,dia de folga,día libre,siku ya mapumziko,izin günü,вихідний,چھٹی کا دن,noun,I’m taking a day off next Friday.,A day when a person does not work or attend school.,
Debauchery,فسق,দুর্নীতি,放蕩,هرزگی,débauche,Ausschweifung,بدکاری,deboche,debauchery,ufisadi,ahlaksızlık,розпуста,بدکاری,noun,Debauchery was condemned.,Excessive indulgence.,
Debilitate,يضعف,দুর্বল করা,削弱,ناتوان کردن,débiliter,schwächen,کمزوری کول,debilitar,debilitar,kudhoofisha,zayıflatmak,послаблювати,کمزور کرنا,verb,Disease debilitated him.,To weaken.,
Debug,تصحيح الأخطاء,ডিবাগ করা,除錯,اشکال‌زدایی,déboguer,debuggen,ستونزه سمول,depurar,depurar,kurekebisha hitilafu,hata ayıklamak,налагоджувати,ڈی بگ کرنا,verb,The programmer spent hours trying to debug the software.,To identify and fix errors in a system or program.,
Debunk,يفند,মিথ্যা প্রমাণ করা,揭穿,رد کردن,démystifier,entlarven,افشا کول,desmascarar,desmentir,kufichua,çürütmek,спростовувати,جھوٹا ثابت کرنا,verb,They debunked the myth.,To expose falsehood.,
Decolonization,إنهاء الاستعمار,উপনিবেশমুক্তি,非殖民化,استعمارزدایی,décolonisation,Dekolonisierung,استعمار ختمول,descolonização,descolonización,uhuru kutoka ukoloni,Dekolonizasyon,деколонізація,نوآبادیاتی خاتمہ,noun,Decolonization reshaped Africa.,End of colonial rule.,
Deepfake,تزييف عميق,ডিপফেক,深度偽造,دیپ‌فیک,deepfake,Deepfake,جعلي ويډيو,deepfake,deepfake,video bandia,deepfake,діпфейк,ڈیپ فیک,noun,The viral clip turned out to be a deepfake.,Artificially generated media that imitates real people convincingly.,
Defamation,التشهير,মানহানি,誹謗,افترا,diffamation,Verleumdung,بدنامي,difamação,difamación,kashfa,iftira,наклеп,ہتک عزت,noun,The celebrity filed a lawsuit for defamation.,The act of damaging someone's reputation through false statements.,
Deference,احترام,সম্মান,尊重,احترام,déférence,Ehrerbietung,درناوی,deferência,deferencia,heshima,saygı,повага,احترام,noun,He showed deference to elders.,Respectful submission.,
Deflation,انكماش,মূল্যহ্রাস,通貨緊縮,تورم منفی,déflation,Deflation,د قیمتونو کموالی,deflação,deflación,deflasi,deflasyon,дефляція,مہنگائی میں کمی,noun,Deflation hurt growth.,Price decrease.,
Delegation,تفويض,প্রতিনিধিত্ব,授權,تفویض,délégation,Delegation,استازیتوب,delegação,delegación,mwakilishi,delegasyon,делегування,اختیار دینا,noun,Delegation improved efficiency.,Transfer of authority.,
Deleterious,ضار,ক্ষতিকর,有害,زیان‌بار,délétère,schädlich,ضررناک,deletério,deletereo,ya kudhuru,zararlı,шкідливий,نقصان دہ,adjective,Pollution is deleterious.,Harmful.,
Delineate,يرسم بدقة,বর্ণনা করা,描繪,ترسیم کردن,délimiter,umreißen,تشریح کول,delimitar,delinear,kuchora,tasvir etmek,окреслювати,حد بندی کرنا,verb,The report delineates issues.,To describe clearly.,
Delivery,توصيل,ডেলিভারি,外送,تحویل,livraison,Lieferung,رسونه,entrega,entrega,usafirishaji,teslimat,доставка,ڈیلیوری,noun,The food delivery arrived earlier than expected.,The act of bringing goods or packages to someone.,
Demagogue,محرض,জনপ্রিয় নেতা,煽動者,عوام‌فریب,Demagoge,Demagoge,فتنه ګر,demagogo,demagogo,kiongozi wa fitina,demagog,демагог,عوام فریب,noun,A demagogue gained support.,Manipulative leader.,
Demagoguery,الديماغوجية,উস্কানিমূলক রাজনীতি,煽動政治,عوام‌فریبی,démagogie,Demagogie,عوام فریبي,demagogia,demagogia,uchochezi,demagoji,демагогія,عوام فریبی,noun,Demagoguery increased tensions.,Manipulative politics.,
Demur,اعتراض,আপত্তি করা,提出異議,اعتراض کردن,demander,einwenden,اعتراض کول,demorar,demorar,kupinga,itiraz etmek,заперечувати,اعتراض کرنا,verb,She demurred at the proposal.,To object or hesitate.,
Demure,خجول,লাজুক,端莊,خجالتی,demure,schüchtern,شرمیلا,demure,demure,mnyenyekevu,utangaç,сором’язливий,شرمیلا,adjective,A demure expression followed.,Reserved modesty.,
Denigrate,يشوه,অবমাননা করা,詆毀,تخریب کردن,dénigrer,verunglimpfen,بدنامول,denegrir,denigrar,kudharau,küçümsemek,очорнювати,بدنام کرنا,verb,They denigrate opponents.,To belittle.,
Denizen,ساكن,নিবাসী,居民,ساکن,détenu,Einwohner,اوسېدونکی,habitante,habitante,mkazi,yerleşik,мешканець,رہائشی,noun,A city denizen spoke.,Inhabitant.,
Denounce,يدين,নিন্দা করা,譴責,محکوم کردن,dénoncer,verurteilen,غندل,denunciar,denunciar,kulaani,kınamak,засуджувати,مذمت کرنا,verb,They denounced corruption.,To publicly criticize.,
Deployment,نشر النظام,ডিপ্লয়মেন্ট,部署,استقرار,déploiement,Bereitstellung,سیستم نصبول,implantação,despliegue,usambazaji wa mfumo,dağıtım,розгортання,ڈیپلائمنٹ,noun,The deployment of the new software was delayed.,The process of releasing software into operation.,
Deposition,إفادة قانونية,জবানবন্দি,庭外證詞,شهادت رسمی,déposition,Aussage,رسمي بيان,deposição,deposición,ushahidi rasmi,ifade,свідчення,بیان حلفی,noun,The witness gave a lengthy deposition before the trial.,Formal sworn testimony recorded before a court proceeding.,
Deregulation,تحرير القيود,নিয়ন্ত্রণমুক্তি,放鬆管制,آزادسازی,deréglementation,Entregulierung,آزادول,deregulação,desregulación,kuondoa udhibiti,deregülasyon,дерегуляція,آزاد کاری,noun,Deregulation boosted markets.,Removing rules.,
Deride,يسخر,উপহাস করা,嘲笑,تمسخر کردن,se moquer,verspotten,ملنډې وهل,escarnecer,escarnio,kudhihaki,alay etmek,знущатися,مذاق اڑانا,verb,They derided his idea.,To mock.,
Derogatory,ازدرائي,অবমাননাকর,貶低,تحقیرآمیز,dérogatoire,abwertend,توهین‌آمیز,derrogatório,derogatorio,ya kudharau,aşağılayıcı,принизливий,توہین آمیز,adjective,Derogatory remarks were made.,Disrespectful.,
Desiccate,يجفف,শুকানো,乾燥,خشک کردن,dessécher,austrocknen,وچول,desidratar,desecar,kukausha,kurutmak,висушувати,خشک کرنا,verb,The land was desiccated.,To dry out.,
Despondent,يائس,হতাশ,沮喪,ناامید,désespéré,mutlos,ناامید,desesperado,desalentado,kukata tamaa,ümitsiz,зневірений,مایوس,adjective,He felt despondent.,Very low in spirit.,
Desultory,غير منتظم,অনিয়মিত,散漫,پراکنده,desultoire,sprunghaft,بې نظم,desultorio,desultorio,kutokuwa na mpangilio,düzensiz,непослідовний,بے ربط,adjective,Desultory efforts failed.,Random or unfocused.,
Detente,انفراج,উত্তেজনা হ্রাস,緩和,تنش‌زدایی,détente,Entspannung,نرمښت,détente,distensión,mgawanyiko wa amani,Detant,розрядка,تناؤ میں کمی,noun,Detente reduced tensions.,Easing hostility.,
Deter,يمنع,নিবারণ করা,威懾,بازداشتن,dissuader,abschrecken,منع کول,impedir,detener,kuzuia,caydırmak,стримувати,روکنا,verb,High fines deter crime.,To discourage action through fear.,
Deterrent,رادع,নিবারক,威懾,بازدارنده,dissuasif,abschreckend,بازدارنده,disuasivo,disuasorio,kizuizi,caydırıcı,стримуючий,روکنے والا,noun,Punishment is a deterrent.,Prevents action.,
Detrimental,ضار,ক্ষতিকর,有害的,زیان‌بار,nuisible,schädlich,زیان رسونکی,detrimental,detrimental,ya kudhuru,zararlı,шкідливий,نقصان دہ,adjective,Smoking is detrimental to health.,Harmful.,
Diaphanous,شفاف,স্বচ্ছ,透明,نازک,diaphane,durchscheinend,شفاف,diáfano,diáfano,ya uwazi,hafif,прозорий,شفاف,adjective,Diaphanous fabric flowed.,Light and transparent.,
Diatribe,هجوم,তীব্র সমালোচনা,抨擊,انتقاد تند,diatribe,Schmährede,سخت نقد,diatribe,diatriba,ukosoaji mkali,sert eleştiri,інвектива,شدید تنقید,noun,A diatribe followed.,Angry speech.,
Dichotomy,ثنائية,দ্বৈততা,二分法,دوگانگی,dichotomie,Dichotomie,دوګونی,dicotomia,dicotomía,dichotomy,ikilem,дихотомія,دوئی,noun,There is a dichotomy between theory and practice.,A division into two contrasting parts.,
Didactic,تعليمي,শিক্ষামূলক,教導,آموزشی,didactique,didaktisch,تعلیمي,didático,didáctico,ya kufundisha,öğretici,дидактичний,تعلیمی,adjective,The tone was didactic.,Instructional.,
Diffident,خجول,লাজুক,缺乏自信,کم‌رو,diffident,schüchtern,شرمنده,diffidente,difidente,ya aibu,çekingen,сором’язливий,شرمیلا,adjective,A diffident student hesitated.,Lacking confidence.,
Dilatory,مماطل,ধীরগতি,拖延,سهل‌انگار,dilatoire,verzögernd,ځنډوونکی,dilatório,dilatorio,ya kuchelewesha,oportünist olmayan,затяжний,سست,adjective,Dilatory tactics delayed progress.,Slow or delaying.,
Diligent,مجتهد,পরিশ্রমী,勤奮的,کوشا,diligent,fleißig,زیارکښ,diligente,diligente,mwenye bidii,dikkatli,старанний,محنتی,adjective,She is a diligent student.,Careful and hardworking.,
Diode,صمام ثنائي,ডায়োড,二極體,دیود,diode,Diode,ډایوډ,diodo,diodo,diodi,diyot,діод,ڈائیوڈ,noun,A diode allows current to flow in only one direction.,An electronic component controlling current direction.,
Diplomacy,الدبلوماسية,কূটনীতি,外交,دیپلماسی,diplomatie,Diplomatie,دیپلوماسي,diplomacia,diplomacia,diplomasia,diplomasi,дипломатія,سفارت کاری,noun,Diplomacy prevented war.,International relations.,
Direct message,رسالة خاصة,ডাইরেক্ট মেসেজ,私人訊息,پیام خصوصی,message privé,Direktnachricht,خصوصي پيغام,mensagem direta,mensaje directo,ujumbe wa moja kwa moja,doğrudan mesaj,приватне повідомлення,براہ راست پیغام,noun,He sent me a direct message on social media.,A private message sent through an online platform.,
Discerning,مميز,বিচক্ষণ,有洞察力,دقیق,discernant,urteilend,هوښیار,discernente,discerniente,mwenye ufahamu,ayırıcı,проникливий,بصیر,adjective,A discerning reader noticed flaws.,Perceptive.,
Disconcert,يربك,অসন্তুষ্ট করা,使不安,آشفته کردن,déconcerter,verunsichern,ګډوډول,desconcertar,desconcertar,kuchanganya,şaşırtmak,збентежувати,پریشان کرنا,verb,The news disconcerted them.,To unsettle.,
Discredit,يشوه السمعة,মানহানি,抹黑,بی‌اعتبار کردن,décréditer,in Misskredit bringen,بدنامول,desacreditar,desacreditar,kudhalilisha,itibarsızlaştırmak,дискредитувати,بدنام کرنا,verb,The report discredited him.,Damage reputation.,
Discretionary,تقديري,বিবেচনামূলক,酌情的,اختیاری,discrétionnaire,Ermessens-,اختیاري,discricionário,discrecional,hiari,takdire bağlı,дискреційний,صوابدیدی,adjective,Managers have discretionary authority over certain expenses.,Subject to personal judgment or choice.,
Disdain,ازدراء,অবজ্ঞা,輕視,تحقیر,dédain,Verachtung,سپکاوی,desdém,desdén,dharau,küçümseme,зневага,حقارت,noun,He showed disdain for rules.,Contempt.,
Disparage,ينتقص,অবমূল্যায়ন করা,貶低,تحقیر کردن,déprécier,herabsetzen,بدنامول,desacreditar,desacreditar,kudharau,küçümsemek,принижувати,کم تر سمجھنا,verb,They disparaged his work.,To belittle.,
Disparate,متفاوت,ভিন্ন,不同的,متفاوت,disparate,unterschiedlich,بېلابېل,dispar,desigual,tofauti,farklı,різний,مختلف,adjective,They have disparate views.,Essentially different.,
Disparity,تفاوت,পার্থক্য,差異,تفاوت,disparité,Ungleichheit,توپیر,disparidade,disparidad,kutofautiana,farklılık,нерівність,عدم مساوات,noun,Income disparity increased.,Inequality.,
Dissemble,يتظاهر,ভান করা,掩飾,تظاهر کردن,dissimuler,täuschen,پټول,disfarçar,disimular,kuficha,rol yapmak,приховувати,دکھاوا کرنا,verb,He dissembled emotions.,To hide true feelings.,
Disseminate,ينشر,প্রচার করা,傳播,منتشر کردن,diffuser,verbreiten,خپرول,disseminar,diseminar,kusambaza,yaymak,поширювати,پھیلانا,verb,They disseminate information.,To spread widely.,
Dissent,معارضة,ভিন্নমত,異議,مخالفت,dissidence,Widerspruch,اختلاف,dissidência,disenso,upinzani,muhalefet,незгода,اختلاف,noun,Dissent was suppressed.,Opposition of opinion.,
Dissertation,أطروحة,অভিসন্দর্ভ,學位論文,رساله,thèse,Dissertation,رساله,dissertação,disertación,tasnifu,tez,дисертація,مقالہ,noun,She spent three years writing her doctoral dissertation.,A long academic paper based on original research.,
Diverge,ينحرف,বিচ্যুত হওয়া,分歧,انحراف داشتن,diverger,auseinandergehen,انحراف کول,divergir,divergir,kutofautiana,ayrılmak,розходитись,جدا ہونا,verb,Their opinions diverge sharply.,To separate or differ.,
Diversification,تنويع,বৈচিত্র্যকরণ,多元化,تنوع,bonification,Diversifikation,تنوع,diversificação,diversificación,mseto,çeşitlendirme,диверсифікація,تنوع,noun,Diversification reduced risk.,Spreading investments.,
Do not disturb,عدم الإزعاج,ডু নট ডিস্টার্ব,勿擾模式,مزاحم نشوید,mode ne pas déranger,Nicht stören,مزاحمت مه کوئ,não perturbe,no molestar,usinisumbue,rahatsız etmeyin,режим не турбувати,ڈو ناٹ ڈسٹرب,noun,I enable do not disturb while studying.,"A setting that silences calls, alerts, and notifications temporarily.",
Doctrine,عقيدة,নীতি,教義,دکترین,doctrine,Doctrine,عقیده,doutrina,doctrina,mafundisho,öğreti,доктрина,نظریہ,noun,The doctrine guided policy.,Set of beliefs/principles.,
Dogged,عنيد,অটল,頑強,سرسخت,tenace,hartnäckig,کلک,dogged,dogged,mwenye msimamo,stubborn,наполегливий,ضدی,adjective,Dogged effort paid off.,Persistent.,
Dogmatic,دوغمائي,গোঁড়া,教條式的,جزمی,dogmatique,dogmatisch,سخت عقیده والا,dogmático,dogmático,ya kaida tu,sorgucu,догматичний,مسلطانہ,adjective,His dogmatic views alienated others.,Stubbornly opinionated.,
Don’t hold your breath,لا تتوقع ذلك قريبًا,শিগগির আশা কোরো না,別抱太大希望,زیاد امیدوار نباش,ne retiens pas ton souffle,mach dir keine Hoffnungen,ډېره هيله مه کوه,não crie expectativas,no esperes mucho,usitarajie sana,boşuna bekleme,не варто чекати,زیادہ امید مت رکھو,idiom,"If you expect him to apologize, don’t hold your breath.",Used to say something probably will not happen soon.,
Down to earth,متواضع وواقعي,সহজ-সরল,腳踏實地,خاکی و واقع‌بین,pieds sur terre,bodenständig,ساده او واقعي,humilde,sencillo,mnyenyekevu,ayakları yere basan,приземлений,سادہ مزاج,adjective,"Despite her fame, she’s very down to earth.","Practical, realistic, and modest.",
Downsizing,تقليص,ছাঁটাই,裁員,کوچک‌سازی,réduction d'effectifs,Personalabbau,کارکوونکي کمول,redução,reducción,kupunguza wafanyakazi,personel azaltma,скорочення штату,کم کرنا,noun,Downsizing affected staff.,Reducing workforce.,
Drawer,درج,ড্রয়ার,抽屜,کشو,tiroir,Schublade,دروازه کشو,gaveta,cajón,droo,çekmece,шухляда,دراز,noun,The batteries are in the top drawer.,A sliding storage compartment in furniture.,
Drizzle,رذاذ مطر,গুঁড়ি গুঁড়ি বৃষ্টি,毛毛雨,باران نم‌نم,bruin,Nieselregen,سپک باران,garoa,llovizna,mvua nyepesi,çiseleme,мряка,ہلکی بارش,noun,A light drizzle continued throughout the afternoon.,Very light rain falling in small drops.,
Due diligence,العناية الواجبة,যাচাই-বাছাই,盡職調查,موشکافی,due diligence,Sorgfaltspflicht,پوره پلټنه,diligência,verificación,dhati zote,özenli inceleme,належна перевірка,مکمل تحقیق,noun,Due diligence was completed.,Investigation before deal.,
Dusty,مغبر,ধুলোময়,滿是灰塵的,پر گرد و غبار,poussiéreux,staubig,دوړنempoeirado,polviento,yenye vumbi,tozlu,запилений,گرد آلود,adjective,The old bookshelf was dusty after years in storage.,Covered with fine dirt or dust.,,
Easy does it,تمهل,আস্তে করো,慢慢來,آرام انجام بده,doucement,immer mit der Ruhe,ورو ورو,calma ahí,con calma,pole pole,yavaş yavaş,обережно,آہستہ آہستہ,idiom,Easy does it while carrying those fragile boxes.,A warning to move carefully or slowly.,
Ebullient,متحمس,উচ্ছ্বসিত,熱情洋溢,پرجوش,ébulliant,überschwänglich,پُر جوش,ebuliente,ebulliciente,mwenye furaha,coşkulu,бурхливий,پرجوش,adjective,Ebullient crowds celebrated.,Very enthusiastic.,
Eccentric,غريب الأطوار,অদ্ভুত,古怪,عجیب,éclectique,exzentrisch,عجیب,eccentrico,eccentrico,mgeni,eksantrik,ексцентричний,عجیب,adjective,He is eccentric but brilliant.,Unusual behavior.,
Economies of scale,اقتصاديات الحجم,স্কেলের অর্থনীতি,規模經濟,صرفه مقیاس,économies d'échelle,Skaleneffekte,د اندازې ګټه,economias de escala,economías de escala,faida ya ukubwa,ölçek ekonomisi,ефект масштабу,پیمانے کی معیشت,noun,Economies of scale reduced costs.,Larger production lowers cost.,
Efface,يمحو,মুছে ফেলা,抹去,پاک کردن,effacer,auslöschen,له منځه وړل,apagar,borrar,kufuta,silmek,стирати,مٹانا,verb,Time effaced memories.,To erase.,
Efficiency,كفاءة,দক্ষতা,效率,بهره‌وری,efficacité,Effizienz,موثريت,eficiência,eficiencia,ufanisi,verimlilik,ефективність,کارکردگی,noun,The new motor improved fuel efficiency significantly.,The ability to achieve results with minimal waste or energy.,
Effrontery,وقاحة,নির্লজ্জতা,厚顏無恥,بی‌ادبی,effronterie,Frechheit,بې ادبي,effrontezza,effrontería,utovu wa heshima,küstahlık,безсоромність,بے شرمی,noun,He had the effrontery to lie.,Bold disrespect.,
Egalitarian,مساواتي,সমতাবাদী,平等,برابری‌خواه,égalitaire,egalitär,برابري غوښتونکی,igualitário,igualitario,usawa,eşitlikçi,егалітарний,برابری پسند,adjective,An egalitarian society emerged.,Equality-based.,
Egregious,فاحش,চরম খারাপ,惡劣,فاحش,éhonté,ungeheuerlich,ډېر بد,egregio,egregio,mbaya sana,rezil,кричущий,انتہائی برا,adjective,An egregious error occurred.,Shockingly bad.,
Electoral college,المجمع الانتخابي,নির্বাচন কলেজ,選舉人團,مجمع انتخاباتی,collège électoral,Electoral College,انتخاباتي کالج,colégio eleitoral,colegio electoral,chuo cha uchaguzi,Wahlmännergremium,виборча колегія,الیکٹورل کالج,noun,The electoral college decided.,Indirect voting system.,
Elevator,مصعد,লিফট,電梯,آسانسور,ascenseur,Aufzug,لفټ,elevador,ascensor,lifti,asansör,ліфт,لفٹ,noun,We took the elevator to the tenth floor.,A machine that carries people between floors in a building.,
Elicit,يستخرج,উদ্ধার করা,引出,برانگیختن,élucider,herauslocken,استخراجول,elicitar,sacar,kuchochea,ortaya çıkarmak,викликати,نکالنا,verb,The teacher elicited responses.,To draw out a response.,
Elusive,صعب المنال,ধরা কঠিন,難以捉摸的,گریزپا,insaisissable,flüchtig,نه نیول کېدونکی,elusivo,elusivo,ngumu kufahamu,kaçamaklı,невловимий,دشوار الحصول,adjective,The answer remained elusive.,Difficult to find or understand.,
Eminent,بارز,বিশিষ্ট,傑出,برجسته,éminent,renommiert,مشهور,emérito,eminente,maarufu,önde gelen,видатний,نامور,adjective,An eminent scientist spoke.,Highly respected.,
Emoji,رمز تعبيري,ইমোজি,表情符號,ایموجی,emoji,Emoji,ايموجي,emoji,emoji,emoji,emoji,емодзі,ایموجی,noun,She added a laughing emoji to the text message.,A small digital icon used to express emotion or ideas.,
Empathy,تعاطف,সহমর্মিতা,同理心,همدلی,empathie,Empathie,همدردي,empatia,empatía,huruma,empati,емпатія,ہمدردی,noun,Good managers show empathy toward stressed employees.,The ability to understand and share another person’s feelings.,
Empirical,تجريبي,অভিজ্ঞতামূলক,經驗的,تجربی,empirique,empirisch,تجربوي,empírico,empírico,ya majaribio,ampirik,емпіричний,تجرباتی,adjective,We rely on empirical data.,Based on observation or experiment.,
Emulate,يحاكي,অনুকরণ করা,模仿,تقلید کردن,émuler,nachahmen,تقلید کول,emular,emular,kuiga,taklit etmek,наслідувати,نقل کرنا,verb,He emulated his mentor.,To imitate.,
Encomium,مديح,প্রশংসা,讚詞,ستایش,éloge,Lobrede,ستاينه,encomio,encomio,sifa,övgü,похвала,تعریف,noun,An encomium was delivered.,Formal praise.,
Encryption,تشفير,এনক্রিপশন,加密,رمزگذاری,chiffrement,Verschlüsselung,کوډګري,criptografia,cifrado,usimbaji fiche,şifreleme,шифрування,انکرپشن,noun,Encryption protects sensitive user information.,The process of converting data into a secure coded form.,
Encumbrance,عبء قانوني,আইনি বাধা,產權負擔,بار قانونی,charge,Belastung,قانوني بار,ônus,gravamen,kizuizi cha kisheria,yükümlülük,обтяження,قانونی بوجھ,noun,The property was sold free of encumbrances.,A legal claim or liability attached to property or assets.,
